name,time,tweets
Fabio,2016-03-16 06:34:37,alive and d e d inside https://tco/K01ZvFfbtE
Fabio,2016-03-16 00:21:54,gib https://tco/h4nNV81v1g
Fabio,2014-03-30 18:17:54,RT @BoweryBoys: 100 yrs ago today leading Paris dressmaker visits NYC finds all the men vulgar 'shocked' they don't wear beards: http://…
Fabio,2014-02-10 04:15:11,I miss a motherfucker Scott Murphy @Jesus_H_Pharaoh
Fabio,2013-11-28 05:59:19,Oh my god 10000 tweets I can't believe I've tweeted so much in wow
Fabio,2013-11-28 05:56:02,So scared Much twat
Fabio,2013-11-23 04:10:27,Twat
